G_006 20:43:58.25 -10:46:10.00 Photom_M-A i 3  bpt -1 9.63 0
G_287 21:29:58.40 12:10:0.60 m15weekly m 132  ban 2 4.05 2
G_359 22:11:30.30 19:29:12.00 HS2209 i 72  dpn 3 27.33 12
G_381 22:21:58.50 56:31:52.00 zero_hd212311 m 5  bpn -1 4.5 0
G_448 22:41:55.90 20:15:42.00 UCM_galaxies_6 f 0 dan 1 39.63 12
G_452 22:58:50.00 20:17:54.00 UCM_galaxies_7 f 0 dan 1 39.63 12
G_466 22:53:57.74 16:8:53.56 2251 m 168  dan 1 7.8 3
G_469 22:2:43.291 42:16:39.98 2200 m 168  ban 1 7.8 3
G_005 23:33:48.00 5:46:10.70 Photom_2331+055A i 3  bpt -1 9.63 0
G_264 23:38:48.60 -6:31:4.00 NGC7721 f 0 dpn 1 8.3 13
G_271 23:38:49.00 -6:31:59.00 SN2007le_OptMonitor i 24  bpn 3 11.43 18
G_272 23:38:49.00 -6:31:59.00 SN2007le_IRmonitor i 24  bpt 3 11.9 18
G_294 23:5:9.605 -6:43:5.28 uranusMon1 m 24  bpt 1 1.28 0
G_432 23:48:20.00 0:57:21.00 i1_1_H00 m 168  dpn 1 49.73 3
G_433 23:48:20.00 0:57:21.00 i2_1_H00 m 672  dpn -10 49.73 4
G_434 23:48:20.00 0:57:21.00 z2_2_H00 m 672  dpn -10 49.73 4
G_435 23:48:20.00 0:57:21.00 i1_2_H00 m 168  dpn 1 49.73 4
G_438 23:48:20.00 0:57:21.00 z1_1_H00 m 672  dpn -10 49.73 4
G_441 23:48:20.00 0:57:21.00 z1_2_H00 m 672  dpn -10 49.73 4
G_442 23:48:20.00 0:57:21.00 i2_2_H00 m 672  dpn -10 49.73 4
G_443 23:48:20.00 0:57:21.00 z2_1_H00 m 672  dpn -10 49.73 4
G_449 23:51:25.70 24:24:12.00 UCM_galaxies_18 f 0 dan 1 39.63 13
G_450 23:22:20.90 23:0:42.00 UCM_galaxies_14 f 0 dan 1 39.63 13
G_453 23:31:48.50 24:44:6.00 UCM_galaxies_17 f 0 dan 1 39.63 13
G_455 23:5:25.50 21:9:42.00 UCM_galaxies_4 f 0 dan 1 39.63 13
G_456 23:20:5.80 24:13:16.00 UCM_galaxies_13 f 0 dan 1 39.63 13
G_458 23:28:27.90 22:25:17.00 UCM_galaxies_16 f 0 dan 1 39.63 13
G_462 23:7:29.10 16:37:39.00 UCM_galaxies_10 f 0 dan 1 39.63 12
G_463 23:15:39.00 18:58:17.00 UCM_galaxies_11 f 0 dan 1 39.63 13
