1 Jan 2007 00:00:00 GMT
2007-03-24 11.916666666666666 6.416666666666667 9.166666666666666 5.083333333333333
2007-03-25 11.833333333333334 7.333333333333333 9.166666666666666 6.0
2007-03-26 11.833333333333334 8.166666666666666 9.083333333333334 6.75
2007-03-27 11.833333333333334 8.833333333333334 9.0 7.416666666666667
2007-03-28 11.833333333333334 9.416666666666666 9.0 8.0
2007-03-29 11.75 10.0 9.0 8.583333333333334
2007-03-30 11.666666666666666 10.333333333333334 9.0 9.0
2007-03-31 11.666666666666666 10.833333333333334 8.916666666666666 8.916666666666666
2007-04-01 11.666666666666666 11.25 8.916666666666666 8.916666666666666
2007-04-02 11.666666666666666 11.5 8.916666666666666 8.916666666666666
2007-04-03 11.583333333333334 10.583333333333334 8.833333333333334 8.833333333333334
2007-04-04 11.583333333333334 9.666666666666666 8.75 8.25
2007-04-05 11.583333333333334 8.666666666666666 8.75 7.25
2007-04-06 11.583333333333334 7.75 8.75 6.333333333333333
2007-04-07 11.5 6.666666666666667 8.75 5.333333333333333
2007-04-08 11.416666666666666 5.75 8.666666666666666 4.333333333333333
2007-04-09 11.416666666666666 4.916666666666667 8.666666666666666 3.5
2007-04-10 11.416666666666666 4.083333333333333 8.583333333333334 2.6666666666666665
2007-04-11 11.416666666666666 3.4166666666666665 8.583333333333334 2.0
2007-04-12 11.333333333333334 2.6666666666666665 8.5 1.25
2007-04-13 11.333333333333334 2.0833333333333335 8.5 0.6666666666666666
2007-04-14 11.333333333333334 1.5 8.5 0.08333333333333333
2007-04-15 11.333333333333334 0.9166666666666666 8.5 0.0
2007-04-16 11.333333333333334 0.3333333333333333 8.416666666666666 0.0
2007-04-17 11.25 0.4166666666666667 8.333333333333334 0.0
2007-04-18 11.166666666666666 1.5 8.333333333333334 0.08333333333333333
2007-04-19 11.166666666666666 2.75 8.333333333333334 1.3333333333333333
2007-04-20 11.166666666666666 3.9166666666666665 8.25 2.5
2007-04-21 11.166666666666666 4.916666666666667 8.25 3.5
2007-04-22 11.083333333333334 5.833333333333333 8.25 4.416666666666667
2007-04-23 11.083333333333334 6.583333333333333 8.166666666666666 5.083333333333333
2007-04-24 11.083333333333334 7.25 8.166666666666666 5.75
2007-04-25 11.083333333333334 7.75 8.083333333333334 6.25
2007-04-26 11.083333333333334 8.25 8.083333333333334 6.75
2007-04-27 10.916666666666666 8.583333333333334 8.083333333333334 7.166666666666667
2007-04-28 10.916666666666666 9.083333333333334 8.083333333333334 7.666666666666667
2007-04-29 10.916666666666666 9.5 8.0 8.0
2007-04-30 10.916666666666666 10.0 7.916666666666667 7.916666666666667
2007-05-01 10.916666666666666 10.5 7.916666666666667 7.916666666666667
2007-05-02 10.916666666666666 10.416666666666666 7.916666666666667 7.916666666666667
2007-05-03 10.833333333333334 9.333333333333334 7.916666666666667 7.916666666666667
2007-05-04 10.833333333333334 8.416666666666666 7.833333333333333 6.916666666666667
2007-05-05 10.75 7.416666666666667 7.833333333333333 5.916666666666667
2007-05-06 10.75 6.583333333333333 7.75 5.083333333333333
