2007-11-05 T 20:50:08.437 UTCRSS 5  [1] [SDAT] RSS : .simCompleted()():: Run: 0 pstat=  1 1.0646 1.0646 1.0646 NaN
2007-11-05 T 21:30:07.376 UTCRSS 389  [1] [SDAT] RSS : .simCompleted()():: Run: 48 pstat=  49 1.1819237188208618 0.91756 1.4267333333333334 0.1147396237491818
2007-11-05 T 21:30:45.526 UTCRSS 397  [1] [SDAT] RSS : .simCompleted()():: Run: 49 pstat=  50 1.1815933333333333 0.91756 1.4267333333333334 0.11358680301025159
2007-11-05 T 21:31:38.486 UTCRSS 405  [1] [SDAT] RSS : .simCompleted()():: Run: 50 pstat=  51 1.1781040087145969 0.91756 1.4267333333333334 0.11517320557651005
2007-11-05 T 21:32:23.771 UTCRSS 413  [1] [SDAT] RSS : .simCompleted()():: Run: 51 pstat=  52 1.1741370512820513 0.91756 1.4267333333333334 0.11757160759288976
2007-11-05 T 21:33:18.149 UTCRSS 421  [1] [SDAT] RSS : .simCompleted()():: Run: 52 pstat=  53 1.1747659119496856 0.91756 1.4267333333333334 0.116525594092547
2007-11-05 T 21:34:03.425 UTCRSS 429  [1] [SDAT] RSS : .simCompleted()():: Run: 53 pstat=  54 1.1703881481481482 0.91756 1.4267333333333334 0.11982037146857479
2007-11-05 T 21:34:59.089 UTCRSS 437  [1] [SDAT] RSS : .simCompleted()():: Run: 54 pstat=  55 1.1715584646464647 0.91756 1.4267333333333334 0.11902261441653005
2007-11-05 T 21:36:02.696 UTCRSS 445  [1] [SDAT] RSS : .simCompleted()():: Run: 55 pstat=  56 1.1699665476190477 0.91756 1.4267333333333334 0.11853576395868291
2007-11-05 T 21:36:45.071 UTCRSS 453  [1] [SDAT] RSS : .simCompleted()():: Run: 56 pstat=  57 1.171936023391813 0.91756 1.4267333333333334 0.11840994500747001
2007-11-05 T 21:37:35.487 UTCRSS 461  [1] [SDAT] RSS : .simCompleted()():: Run: 57 pstat=  58 1.173992298850575 0.91756 1.4267333333333334 0.11840681440959434
2007-11-05 T 21:38:31.232 UTCRSS 469  [1] [SDAT] RSS : .simCompleted()():: Run: 58 pstat=  59 1.171959171374765 0.91756 1.4267333333333334 0.11841591699823992
2007-11-05 T 21:39:14.857 UTCRSS 477  [1] [SDAT] RSS : .simCompleted()():: Run: 59 pstat=  60 1.1704826296296298 0.91756 1.4267333333333334 0.11796386450971667
2007-11-05 T 21:40:08.325 UTCRSS 485  [1] [SDAT] RSS : .simCompleted()():: Run: 60 pstat=  61 1.172219162112933 0.91756 1.4267333333333334 0.1177603372259303
2007-11-05 T 21:41:02.379 UTCRSS 493  [1] [SDAT] RSS : .simCompleted()():: Run: 61 pstat=  62 1.171402365591398 0.91756 1.4267333333333334 0.11696804996816795
2007-11-05 T 21:42:03.592 UTCRSS 501  [1] [SDAT] RSS : .simCompleted()():: Run: 62 pstat=  63 1.171273298059965 0.91756 1.4267333333333334 0.11602544738486416
2007-11-05 T 21:43:02.472 UTCRSS 509  [1] [SDAT] RSS : .simCompleted()():: Run: 63 pstat=  64 1.1712056597222225 0.91756 1.4267333333333334 0.11510219899919402
2007-11-05 T 21:43:50.386 UTCRSS 517  [1] [SDAT] RSS : .simCompleted()():: Run: 64 pstat=  65 1.1724854700854703 0.91756 1.4267333333333334 0.11466460916682583
2007-11-05 T 21:44:36.680 UTCRSS 525  [1] [SDAT] RSS : .simCompleted()():: Run: 65 pstat=  66 1.172341750841751 0.91756 1.4267333333333334 0.1137851455089847
2007-11-05 T 21:45:32.631 UTCRSS 533  [1] [SDAT] RSS : .simCompleted()():: Run: 66 pstat=  67 1.1711504145936986 0.91756 1.4267333333333334 0.11334012383314432
2007-11-05 T 21:46:26.558 UTCRSS 541  [1] [SDAT] RSS : .simCompleted()():: Run: 67 pstat=  68 1.1732660130718957 0.91756 1.4267333333333334 0.11383586447854478
2007-11-05 T 21:47:20.450 UTCRSS 549  [1] [SDAT] RSS : .simCompleted()():: Run: 68 pstat=  69 1.1713426731078909 0.91756 1.4267333333333334 0.11411960244264004
2007-11-05 T 21:47:54.175 UTCRSS 557  [1] [SDAT] RSS : .simCompleted()():: Run: 69 pstat=  70 1.1747061904761906 0.91756 1.4267333333333334 0.11673246273540594
2007-11-05 T 21:48:51.292 UTCRSS 565  [1] [SDAT] RSS : .simCompleted()():: Run: 70 pstat=  71 1.175223067292645 0.91756 1.4267333333333334 0.11597746551134523
2007-11-05 T 21:49:30.555 UTCRSS 573  [1] [SDAT] RSS : .simCompleted()():: Run: 71 pstat=  72 1.1765974382716051 0.91756 1.4267333333333334 0.11574681632194875
2007-11-05 T 21:50:19.464 UTCRSS 581  [1] [SDAT] RSS : .simCompleted()():: Run: 72 pstat=  73 1.178028675799087 0.91756 1.4267333333333334 0.11558887362688355
