2007-11-05 T 21:46:26.559 UTCRSS 545  [1] [SDAT] RSS : .simCompleted()():: Run: 67 fpstat=  68 0.4108790849673203 0.21893333333333334 0.6107111111111111 0.08318598656119898
2007-11-05 T 21:47:20.451 UTCRSS 553  [1] [SDAT] RSS : .simCompleted()():: Run: 68 fpstat=  69 0.41101256038647344 0.21893333333333334 0.6107111111111111 0.0825795028100866
2007-11-05 T 21:47:54.176 UTCRSS 561  [1] [SDAT] RSS : .simCompleted()():: Run: 69 fpstat=  70 0.40785142857142853 0.18973333333333334 0.6107111111111111 0.0861396283811334
2007-11-05 T 21:48:51.293 UTCRSS 569  [1] [SDAT] RSS : .simCompleted()():: Run: 70 fpstat=  71 0.40774898278560245 0.18973333333333334 0.6107111111111111 0.08552648843638552
2007-11-05 T 21:49:30.556 UTCRSS 577  [1] [SDAT] RSS : .simCompleted()():: Run: 71 fpstat=  72 0.40707654320987646 0.18973333333333334 0.6107111111111111 0.08511352271792214
2007-11-05 T 21:50:19.464 UTCRSS 585  [1] [SDAT] RSS : .simCompleted()():: Run: 72 fpstat=  73 0.4069199391171993 0.18973333333333334 0.6107111111111111 0.08453098024951668
2007-11-05 T 21:51:15.305 UTCRSS 593  [1] [SDAT] RSS : .simCompleted()():: Run: 73 fpstat=  74 0.40933513513513503 0.18973333333333334 0.6107111111111111 0.08648270322518435
2007-11-05 T 21:52:14.430 UTCRSS 601  [1] [SDAT] RSS : .simCompleted()():: Run: 74 fpstat=  75 0.40892385185185176 0.18973333333333334 0.6107111111111111 0.08597018930474447
2007-11-05 T 21:52:56.657 UTCRSS 609  [1] [SDAT] RSS : .simCompleted()():: Run: 75 fpstat=  76 0.4085029239766081 0.18973333333333334 0.6107111111111111 0.08547393854714017
2007-11-05 T 21:53:41.875 UTCRSS 617  [1] [SDAT] RSS : .simCompleted()():: Run: 76 fpstat=  77 0.40906089466089457 0.18973333333333334 0.6107111111111111 0.08505079546365638
2007-11-05 T 21:54:18.333 UTCRSS 625  [1] [SDAT] RSS : .simCompleted()():: Run: 77 fpstat=  78 0.40725014245014235 0.18973333333333334 0.6107111111111111 0.08599675981799496
2007-11-05 T 21:55:15.565 UTCRSS 633  [1] [SDAT] RSS : .simCompleted()():: Run: 78 fpstat=  79 0.4088528832630098 0.18973333333333334 0.6107111111111111 0.08662310778424404
2007-11-05 T 21:55:57.139 UTCRSS 641  [1] [SDAT] RSS : .simCompleted()():: Run: 79 fpstat=  80 0.4072994444444443 0.18973333333333334 0.6107111111111111 0.08718735440200069
2007-11-05 T 21:56:36.382 UTCRSS 649  [1] [SDAT] RSS : .simCompleted()():: Run: 80 fpstat=  81 0.40699478737997247 0.18973333333333334 0.6107111111111111 0.08668409556029481
2007-11-05 T 21:57:20.411 UTCRSS 657  [1] [SDAT] RSS : .simCompleted()():: Run: 81 fpstat=  82 0.4078460704607045 0.18973333333333334 0.6107111111111111 0.08649155653937993
2007-11-05 T 21:58:08.244 UTCRSS 665  [1] [SDAT] RSS : .simCompleted()():: Run: 82 fpstat=  83 0.4078832663989289 0.18973333333333334 0.6107111111111111 0.08596321915678516
2007-11-05 T 21:58:47.171 UTCRSS 673  [1] [SDAT] RSS : .simCompleted()():: Run: 83 fpstat=  84 0.4072396825396824 0.18973333333333334 0.6107111111111111 0.08564715776808982
2007-11-05 T 21:59:39.051 UTCRSS 681  [1] [SDAT] RSS : .simCompleted()():: Run: 84 fpstat=  85 0.4075461437908495 0.18973333333333334 0.6107111111111111 0.08518269831036253
2007-11-05 T 22:00:28.164 UTCRSS 689  [1] [SDAT] RSS : .simCompleted()():: Run: 85 fpstat=  86 0.4074325581395347 0.18973333333333334 0.6107111111111111 0.0846866922741651
2007-11-05 T 22:01:15.221 UTCRSS 697  [1] [SDAT] RSS : .simCompleted()():: Run: 86 fpstat=  87 0.4063049808429117 0.18973333333333334 0.6107111111111111 0.08484725609558595
2007-11-05 T 22:02:12.146 UTCRSS 705  [1] [SDAT] RSS : .simCompleted()():: Run: 87 fpstat=  88 0.40657222222222206 0.18973333333333334 0.6107111111111111 0.08439546117472106
2007-11-05 T 22:03:06.459 UTCRSS 713  [1] [SDAT] RSS : .simCompleted()():: Run: 88 fpstat=  89 0.406883895131086 0.18973333333333334 0.6107111111111111 0.08396606910182959
2007-11-05 T 22:03:48.328 UTCRSS 721  [1] [SDAT] RSS : .simCompleted()():: Run: 89 fpstat=  90 0.40722222222222215 0.18973333333333334 0.6107111111111111 0.08355468728796936
2007-11-05 T 22:04:33.954 UTCRSS 729  [1] [SDAT] RSS : .simCompleted()():: Run: 90 fpstat=  91 0.4074603174603174 0.18973333333333334 0.6107111111111111 0.08312023547231807
2007-11-05 T 22:05:17.634 UTCRSS 737  [1] [SDAT] RSS : .simCompleted()():: Run: 91 fpstat=  92 0.4069483091787439 0.18973333333333334 0.6107111111111111 0.08280802368709132
